objectid,element,dimensiontype,dimension,unitname
61375,overall,width,88.8,centimeters
61375,overall,height,116.2,centimeters
61378,overall,width,92.7,centimeters
61378,overall,height,65.5,centimeters
61379,overall,width,81.0,centimeters
61379,overall,height,100.0,centimeters
61383,overall,width,81.9,centimeters
61383,overall,height,66.7,centimeters
61443,image,width,64.0,centimeters
61443,image,height,43.5,centimeters
62537,plate,width,9.5,centimeters
62537,plate,height,13.1,centimeters
62619,overall,width,167.6,centimeters
62619,overall,height,143.5,centimeters
62636,sheet,width,49.7,centimeters
62636,sheet,height,30.7,centimeters
65713,sheet,width,106.5,centimeters
65713,sheet,height,106.5,centimeters
65828,overall,width,20.5,centimeters
65828,overall,height,15.5,centimeters
66175,sheet,width,106.5,centimeters
66175,sheet,height,106.5,centimeters
66243,plate,width,43.2,centimeters
66243,plate,height,56.2,centimeters
66245,plate,width,43.0,centimeters
66245,plate,height,56.0,centimeters
66248,plate,width,44.5,centimeters
66248,plate,height,56.0,centimeters
66396,overall,width,35.0,centimeters
66396,overall,height,44.5,centimeters
66418,overall,width,38.6,centimeters
66418,overall,height,46.5,centimeters
66422,overall,width,65.1,centimeters
66422,overall,height,81.3,centimeters
66423,overall,width,92.4,centimeters
66423,overall,height,73.7,centimeters
66425,overall,width,100.0,centimeters
66425,overall,height,60.0,centimeters
66427,overall,width,32.2,centimeters
66427,overall,height,24.5,centimeters
66429,overall,width,45.7,centimeters
66429,overall,height,37.8,centimeters
66430,overall,width,90.0,centimeters
66430,overall,height,60.0,centimeters
66437,overall,width,49.5,centimeters
66437,overall,height,72.5,centimeters
66450,overall,depth,18.8,centimeters
66450,overall,width,24.5,centimeters
66450,overall,height,45.0,centimeters
66488,overall,width,61.9,centimeters
66488,overall,height,47.0,centimeters
66492,overall,width,24.2,centimeters
66492,overall,height,31.7,centimeters
66506,overall,width,35.0,centimeters
66506,overall,height,60.5,centimeters
66510,overall,width,25.1,centimeters
66510,overall,height,17.7,centimeters
66581,overall,width,48.9,centimeters
66581,overall,height,35.9,centimeters
66590,overall,width,24.1,centimeters
66590,overall,height,30.3,centimeters
66592,sheet,width,51.2,centimeters
